충전소명,주소,Latitude,Longitude,ID,충전기 형태,충전기 용량,x,y
대구시_수성의료지구,대구광역시 수성구 알파시티1로 83전기차충전소(대흥동 903-1),35.8353269,128.6903668,4,DC차데모+AC3상+DC콤보,50kW,,
대구시_수성의료지구,대구광역시 수성구 알파시티1로 83전기차충전소(대흥동 903-1),35.8353269,128.6903668,5,AC완속,7kW,,
대구시_수성의료지구(대구도시공사),대구광역시 수성구 알파시티1로 194(대흥동 841-1),35.8373626,128.6819486,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_수성의료지구(대구도시공사),대구광역시 수성구 알파시티1로 194(대흥동 841-1),35.8373626,128.6819486,2,DC차데모+AC3상+DC콤보,50kW,,
대구시_수성의료지구(대구도시공사),대구광역시 수성구 알파시티1로 194(대흥동 841-1),35.8373626,128.6819486,3,DC차데모+AC3상+DC콤보,50kW,,
대구시_신당동,대구광역시 달서구 선원로 60대구시_신당동,35.8587524,128.4987807,1,DC차데모+AC3상+DC콤보,100kW,,
대구시_신매공원,대구광역시 수성구 달구벌대로652길 65대구광역시 수성구 신매동 290-1,35.8328139,128.7098677,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_신매공원,대구광역시 수성구 달구벌대로652길 65대구광역시 수성구 신매동 290-1,35.8328139,128.7098677,2,AC완속,7kW,,
대구시_신암1동 행정복지센터,대구광역시 동구 아양로7길 27대구시_신암1동 행정복지센터(722-293 신암1동행정복지센터),35.8842957,128.6163595,1,DC차데모+AC3상+DC콤보,100kW,,
대구시_신암2동 행정복지센터,대구광역시 동구 신성로 56,35.879941,128.6126548,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_안심1동 행정복지센터,대구광역시 동구 율하동로25길 5,35.8706033,128.7015745,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_안심4동 행정복지센터,대구광역시 동구 안심로49길 98안심4동 행정복지센터(14-1 안심4동주민센터),35.8702467,128.7110836,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_옥포읍 행정복지센터,대구광역시 달성군 옥포읍 비슬로 2215,35.7893884,128.4637726,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_운암지 공영주차장,대구광역시 북구 구암로 217운암지 공영주차장,35.931071,128.5630253,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_운암지 공영주차장,대구광역시 북구 구암로 217운암지 공영주차장,35.931071,128.5630253,2,DC차데모+AC3상+DC콤보,50kW,,
대구시_월촌공원주차장,대구광역시 달서구 상인로 68-4월촌공원주차장,35.8128466,128.5491292,1,DC차데모+AC3상+DC콤보,50kW,,
대구시_월촌공원주차장,대구광역시 달서구 상인로 68-4월촌공원주차장,35.8128466,128.5491292,2,DC차데모+AC3상+DC콤보,50kW,,
