충전소명,주소,ID,충전기 형태,충전기 용량
대구시_진천삼성래미안,대구광역시 달서구 상화로8길 23,02,AC완속,7kW
대구시_진천삼성래미안,대구광역시 달서구 상화로8길 23,03,AC완속,7kW
대구시_차량등록사업소,대구광역시 수성구 동원로 84,01,DC차데모+AC3상+DC콤보,50kW
대구시_칠성동,대구광역시 북구 칠성로19길 4대구시_칠성동,01,DC차데모+AC3상+DC콤보,100kW
대구시_침산푸르지오,대구광역시 북구 옥산로 103,01,DC차데모+AC3상+DC콤보,50kW
대구시_침산푸르지오,대구광역시 북구 옥산로 103,02,AC완속,7kW
대구시_침산푸르지오,대구광역시 북구 옥산로 103,03,AC완속,7kW
대구시_태전1동 행정복지센터,대구광역시 북구 태전로7길 10-24,01,DC차데모+AC3상+DC콤보,50kW
대구시_태전2동,대구광역시 북구 칠곡중앙대로52길 32대구시_태전2동,01,DC차데모+AC3상+DC콤보,100kW
대구시_태전공원,대구광역시 북구 영송로 70태전공원 실외(태전동 943),01,DC차데모+AC3상+DC콤보,100kW
대구시_하빈면사무소,대구광역시 달성군 하빈면 하빈로84길 1,01,DC차데모+AC3상+DC콤보,50kW
대구시_한국도로공사(유천IC),대구광역시 달성군 화원읍 성천로 208한국도로공사(유천IC),01,DC차데모+AC3상+DC콤보,50kW
대구시_한국도로공사(유천IC),대구광역시 달성군 화원읍 성천로 208한국도로공사(유천IC),02,DC차데모+AC3상+DC콤보,50kW
대구시_황금1동 행정복지센터,대구광역시 수성구 청호로57길 10,01,DC차데모+AC3상+DC콤보,50kW
대구시_효목1동 행정복지센터,대구광역시 동구 화랑로41길 46,01,DC차데모+AC3상+DC콤보,50kW
대구시_효목2동,대구광역시 동구 화랑로25길 45대구시_효목2동,01,DC차데모+AC3상+DC콤보,100kW
